"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"KITBOXCZ","Kit Box - Cinza - Pinpoint","KITBOXCZ150100","150cm","100cm","Cinza | #CCCCCC","9999999","762.30","Kit Box - Cinza - Pinpoint","1","150","150","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXCZ","Kit Box - Cinza - Pinpoint","KITBOXCZ155100","155cm","100cm","Cinza | #CCCCCC","9999999","777.87","Kit Box - Cinza - Pinpoint","1","155","155","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXCZ","Kit Box - Cinza - Pinpoint","KITBOXCZ160100","160cm","100cm","Cinza | #CCCCCC","9999999","793.45","Kit Box - Cinza - Pinpoint","1","160","160","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXCZ","Kit Box - Cinza - Pinpoint","KITBOXCZ165100","165cm","100cm","Cinza | #CCCCCC","9999999","809.02","Kit Box - Cinza - Pinpoint","1","165","165","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXCZ","Kit Box - Cinza - Pinpoint","KITBOXCZ170100","170cm","100cm","Cinza | #CCCCCC","9999999","824.60","Kit Box - Cinza - Pinpoint","1","170","170","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXCZ","Kit Box - Cinza - Pinpoint","KITBOXCZ175100","175cm","100cm","Cinza | #CCCCCC","9999999","840.17","Kit Box - Cinza - Pinpoint","1","175","175","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXCZ","Kit Box - Cinza - Pinpoint","KITBOXCZ180100","180cm","100cm","Cinza | #CCCCCC","9999999","855.74","Kit Box - Cinza - Pinpoint","1","180","180","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXCZ","Kit Box - Cinza - Pinpoint","KITBOXCZ185100","185cm","100cm","Cinza | #CCCCCC","9999999","871.32","Kit Box - Cinza - Pinpoint","1","185","185","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXCZ","Kit Box - Cinza - Pinpoint","KITBOXCZ190100","190cm","100cm","Cinza | #CCCCCC","9999999","886.89","Kit Box - Cinza - Pinpoint","1","190","190","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXCZ","Kit Box - Cinza - Pinpoint","KITBOXCZ195100","195cm","100cm","Cinza | #CCCCCC","9999999","902.46","Kit Box - Cinza - Pinpoint","1","195","195","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXCZ","Kit Box - Cinza - Pinpoint","KITBOXCZ200100","200cm","100cm","Cinza | #CCCCCC","9999999","918.04","Kit Box - Cinza - Pinpoint","1","200","200","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXCZ","Kit Box - Cinza - Pinpoint","KITBOXCZ205100","205cm","100cm","Cinza | #CCCCCC","9999999","933.61","Kit Box - Cinza - Pinpoint","1","205","205","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXCZ","Kit Box - Cinza - Pinpoint","KITBOXCZ210100","210cm","100cm","Cinza | #CCCCCC","9999999","949.19","Kit Box - Cinza - Pinpoint","1","210","210","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXCZ","Kit Box - Cinza - Pinpoint","KITBOXCZ215100","215cm","100cm","Cinza | #CCCCCC","9999999","964.76","Kit Box - Cinza - Pinpoint","1","215","215","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXCZ","Kit Box - Cinza - Pinpoint","KITBOXCZ220100","220cm","100cm","Cinza | #CCCCCC","9999999","980.33","Kit Box - Cinza - Pinpoint","1","220","220","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXCZ","Kit Box - Cinza - Pinpoint","KITBOXCZ225100","225cm","100cm","Cinza | #CCCCCC","9999999","995.91","Kit Box - Cinza - Pinpoint","1","225","225","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXCZ","Kit Box - Cinza - Pinpoint","KITBOXCZ230100","230cm","100cm","Cinza | #CCCCCC","9999999","1011.48","Kit Box - Cinza - Pinpoint","1","230","230","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
