"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"TSCT92","Tela Solar 1% - Bege","TSCT92150100","150cm","100cm","Bege | #eed9c4","9999999","442.63","Tela Solar 1% - Bege","1","150","150","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT92","Tela Solar 1% - Bege","TSCT92155100","155cm","100cm","Bege | #eed9c4","9999999","452.46","Tela Solar 1% - Bege","1","155","155","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT92","Tela Solar 1% - Bege","TSCT92160100","160cm","100cm","Bege | #eed9c4","9999999","462.30","Tela Solar 1% - Bege","1","160","160","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT92","Tela Solar 1% - Bege","TSCT92165100","165cm","100cm","Bege | #eed9c4","9999999","472.14","Tela Solar 1% - Bege","1","165","165","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT92","Tela Solar 1% - Bege","TSCT92170100","170cm","100cm","Bege | #eed9c4","9999999","481.97","Tela Solar 1% - Bege","1","170","170","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT92","Tela Solar 1% - Bege","TSCT92175100","175cm","100cm","Bege | #eed9c4","9999999","491.81","Tela Solar 1% - Bege","1","175","175","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT92","Tela Solar 1% - Bege","TSCT92180100","180cm","100cm","Bege | #eed9c4","9999999","501.64","Tela Solar 1% - Bege","1","180","180","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT92","Tela Solar 1% - Bege","TSCT92185100","185cm","100cm","Bege | #eed9c4","9999999","511.48","Tela Solar 1% - Bege","1","185","185","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT92","Tela Solar 1% - Bege","TSCT92190100","190cm","100cm","Bege | #eed9c4","9999999","521.32","Tela Solar 1% - Bege","1","190","190","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT92","Tela Solar 1% - Bege","TSCT92195100","195cm","100cm","Bege | #eed9c4","9999999","531.15","Tela Solar 1% - Bege","1","195","195","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT92","Tela Solar 1% - Bege","TSCT92200100","200cm","100cm","Bege | #eed9c4","9999999","540.99","Tela Solar 1% - Bege","1","200","200","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT92","Tela Solar 1% - Bege","TSCT92205100","205cm","100cm","Bege | #eed9c4","9999999","550.82","Tela Solar 1% - Bege","1","205","205","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT92","Tela Solar 1% - Bege","TSCT92210100","210cm","100cm","Bege | #eed9c4","9999999","560.66","Tela Solar 1% - Bege","1","210","210","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT92","Tela Solar 1% - Bege","TSCT92215100","215cm","100cm","Bege | #eed9c4","9999999","570.50","Tela Solar 1% - Bege","1","215","215","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT92","Tela Solar 1% - Bege","TSCT92220100","220cm","100cm","Bege | #eed9c4","9999999","580.33","Tela Solar 1% - Bege","1","220","220","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT92","Tela Solar 1% - Bege","TSCT92225100","225cm","100cm","Bege | #eed9c4","9999999","590.17","Tela Solar 1% - Bege","1","225","225","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
